"year","rep","scenario","meanG","varG","acc_sel"
1,1,"LineGS",-0.00130976555948411,1.18984212181592,0.324811505271505
2,1,"LineGS",0.301851275805168,1.28196991244205,0.338411047049209
3,1,"LineGS",0.680936135107007,1.71203923472192,0.308084677674551
4,1,"LineGS",1.18072705575895,1.92283708963041,0.356473843943696
5,1,"LineGS",1.67529477444212,1.34589555065287,0.329040639890101
6,1,"LineGS",2.06461769590375,0.909054088385351,0.413773206693683
7,1,"LineGS",2.12273666767251,0.890880912193661,0.365912921624564
8,1,"LineGS",2.24226583529657,1.02246459788213,0.309332097888263
9,1,"LineGS",2.35657480913646,1.06295934978342,0.297393843133838
10,1,"LineGS",2.796358131575,1.12209217061505,0.342962707733816
11,1,"LineGS",3.21650312428028,1.10041346037603,0.263523814831981
12,1,"LineGS",3.64458219609767,1.03285190437192,0.32866759577705
13,1,"LineGS",3.7702560607294,0.9236470430605,0.297328066833987
14,1,"LineGS",3.99367481800336,0.821231787016144,0.289709801631148
15,1,"LineGS",3.97834927839098,0.803631785085302,0.254073374631512
16,1,"LineGS",4.19408119408379,0.920405231249542,0.280444623711093
17,1,"LineGS",4.32256131658658,0.943136720854603,0.25602920165662
18,1,"LineGS",4.52866735886142,0.977789951808875,0.20527644458655
19,1,"LineGS",4.87378682094901,0.964409583894915,0.309589210304991
20,1,"LineGS",5.16714171764805,0.846931227092299,0.0243378033178994
21,1,"LineGS",5.31719535474834,0.751754263354829,0.273805082410227
22,1,"LineGS",5.54044691190567,0.774791681279935,0.221556018868889
23,1,"LineGS",5.82931777505999,0.829831706326092,0.280398798855268
24,1,"LineGS",5.99408483968127,0.877245359003202,0.435795887829913
25,1,"LineGS",6.30172041352075,0.812785067351808,0.43538746665514
26,1,"LineGS",6.66114822834554,0.854762045235436,0.460661860862723
27,1,"LineGS",7.02354731178188,0.736189430741473,0.504265629293089
28,1,"LineGS",7.29392880995822,0.784062740775191,0.383172549507052
29,1,"LineGS",7.56546093256971,0.591806991724835,0.255222693881712
30,1,"LineGS",7.7696506607933,0.564303361551287,0.201907152492776
31,1,"LineGS",7.87181155975346,0.576830894597795,0.0958196552492398
32,1,"LineGS",7.97138039652061,0.502854934618247,0.106702383937408
33,1,"LineGS",7.99900812895882,0.478631041179918,0.42689197258181
34,1,"LineGS",8.29220287610552,0.670680048762909,0.327770925224898
35,1,"LineGS",8.49880659298901,0.659449624292139,0.376148126421953
36,1,"LineGS",8.73073784258968,0.523148688015795,0.380046572141522
37,1,"LineGS",8.89789716624968,0.601769319241318,0.501216457392701
38,1,"LineGS",9.26611626239192,0.484516355868526,0.55465674688163
39,1,"LineGS",9.4395152787287,0.490593254061085,0.443378996401096
40,1,"LineGS",9.71413051863588,0.407508897505817,0.391650191404391
