"year","rep","scenario","meanG","varG","accSel"
1,1,"LineGSTP",0.92628098827821,1.21763138855314,0.319497284215712
2,1,"LineGSTP",1.25251138810305,1.45260049557495,0.233679146995304
3,1,"LineGSTP",1.69692620166389,1.70218640379609,0.306613676616288
4,1,"LineGSTP",2.48520090973756,1.99306735795147,0.266863821635151
5,1,"LineGSTP",2.75649146596179,1.64713392302488,0.374852478279485
6,1,"LineGSTP",3.07653809620311,1.12845304353509,0.40865916670148
7,1,"LineGSTP",3.30987972798643,1.02845290590089,0.384030116588147
8,1,"LineGSTP",3.56692282271288,1.15567093975849,0.332770409594638
9,1,"LineGSTP",3.61883880618624,1.17681091038776,0.312387009127693
10,1,"LineGSTP",4.2012981701,1.2391256948692,0.363979634031469
11,1,"LineGSTP",4.41793010301795,1.15638951961058,0.33055734171368
12,1,"LineGSTP",4.90685172885504,1.09102181343921,0.101748782327499
13,1,"LineGSTP",5.07113813466491,1.02302012469176,0.321183124779621
14,1,"LineGSTP",5.28820340681548,1.19689052564439,0.309190493665054
15,1,"LineGSTP",5.42205437691239,1.16421018588122,0.312649254431029
16,1,"LineGSTP",5.74353044340156,1.08467941455275,0.381384243807413
17,1,"LineGSTP",5.98266980797235,0.995973736291862,0.331743090272918
18,1,"LineGSTP",6.28793104573821,0.835266525523828,0.264687544027219
19,1,"LineGSTP",6.45570990245293,1.02932670052725,0.27628950708502
20,1,"LineGSTP",6.60803863419775,0.95722247352648,0.110281558006079
21,1,"LineGSTP",6.8568865207554,0.916300367248685,0.399920039173582
22,1,"LineGSTP",6.86498157717485,1.10575615936675,0.482586776893832
23,1,"LineGSTP",7.25241251641558,1.09352227911124,0.45238865694754
24,1,"LineGSTP",7.60722266305333,0.960175367470361,0.474363061886524
25,1,"LineGSTP",8.18298409410338,0.946808227851052,0.44126628207915
26,1,"LineGSTP",8.70864724087371,0.894698187838979,0.513297800052541
27,1,"LineGSTP",9.22586072967381,0.814357305321023,0.435181422951104
28,1,"LineGSTP",9.65342470607109,0.759548821258898,0.350855885677565
29,1,"LineGSTP",9.98459063396416,0.785895062674606,0.20007701765046
30,1,"LineGSTP",10.1970444022658,0.66410957934316,0.353763270167492
31,1,"LineGSTP",10.5705510115878,0.687051178459911,0.18544584201522
32,1,"LineGSTP",10.8645296801929,0.788063487780737,0.361653485437674
33,1,"LineGSTP",11.0406069828685,0.729947891669425,0.13276072493756
34,1,"LineGSTP",11.0017286048234,0.75166915647708,0.439690573807008
35,1,"LineGSTP",11.0635576725833,0.654966954699505,0.425572065248867
36,1,"LineGSTP",11.2030663385763,0.585136730845857,0.243694385969303
37,1,"LineGSTP",11.5352271783908,0.630283878259354,0.175829225886952
38,1,"LineGSTP",11.5198941896012,0.712296456965322,0.323438073257271
39,1,"LineGSTP",11.8057180062452,0.679861780414152,0.448512608363908
40,1,"LineGSTP",12.2001877730008,0.585070132915062,0.37824571023642
1,2,"LineGSTP",0.988888776275393,1.47702062626192,0.318260271540877
2,2,"LineGSTP",1.25647916290691,1.66095332566017,0.366415255226074
3,2,"LineGSTP",1.87867637569204,2.22601803592221,0.380258577859818
4,2,"LineGSTP",2.64818078687848,2.07112764224483,0.263524434266915
5,2,"LineGSTP",3.1052197642114,1.86794817002416,0.437991629123206
6,2,"LineGSTP",3.34292584188931,1.38935026809467,0.409977600967096
7,2,"LineGSTP",3.74189098682985,1.10931597442405,0.41636685556585
8,2,"LineGSTP",3.76715558028405,1.23320862299443,0.339096412526719
9,2,"LineGSTP",3.97009151430193,1.40710125699113,0.362308789914058
10,2,"LineGSTP",4.39146615353797,1.56060495418283,0.246024575395019
11,2,"LineGSTP",4.54980463930523,1.40248418169398,0.381622237198096
12,2,"LineGSTP",4.9268372904364,1.36763796524127,0.420345353535131
13,2,"LineGSTP",5.28814383142123,1.20344894956251,0.328417146486844
14,2,"LineGSTP",5.49201018783769,1.45732083739303,0.384423161164897
15,2,"LineGSTP",5.61182690744207,1.48105402779983,0.409769432426136
16,2,"LineGSTP",6.15873855579711,1.37252941478831,0.406112518056641
17,2,"LineGSTP",6.50145478185697,1.16310420995492,0.346836333554025
18,2,"LineGSTP",6.78522483048568,1.12735241527353,0.388053449987513
19,2,"LineGSTP",7.21355731392285,1.09078494583475,0.397648987395479
20,2,"LineGSTP",7.41769218601721,1.02430364544145,0.239882123848453
21,2,"LineGSTP",7.41762407798616,1.03966731977773,0.327102624524828
22,2,"LineGSTP",7.4188179604188,0.967478704043617,0.435523415256368
23,2,"LineGSTP",7.61698036853306,1.35636157017116,0.473830719789649
24,2,"LineGSTP",8.09738146501848,1.36001012106643,0.416303722733935
25,2,"LineGSTP",8.4910282449973,1.01314350455538,0.297490189171785
26,2,"LineGSTP",8.95672894673393,0.980364454991296,0.293186525781563
27,2,"LineGSTP",9.40008641275235,1.14019440714158,0.266051944403127
28,2,"LineGSTP",9.70949199332507,1.06380720221942,0.198955563369376
29,2,"LineGSTP",9.80010451603061,1.05354569951018,0.262670963791915
30,2,"LineGSTP",10.0047180127002,0.964535436568154,0.291200826842713
31,2,"LineGSTP",10.1511627899288,1.091721219081,0.308274333766781
32,2,"LineGSTP",10.5152088358117,0.994401518407608,0.472305045517306
33,2,"LineGSTP",10.8319047450605,0.912592990358144,0.304347434133245
34,2,"LineGSTP",10.9110990550324,0.883293317315985,0.413757888021588
35,2,"LineGSTP",11.1973239073516,0.901133364723191,0.288970802953609
36,2,"LineGSTP",11.5482799907232,0.901712262080522,0.288134195475679
37,2,"LineGSTP",11.6109705897171,0.873422501395785,0.404572642971158
38,2,"LineGSTP",11.9710280290508,0.90701149474471,0.257181583662086
39,2,"LineGSTP",12.3780961077732,0.741937333423868,0.301251297127153
40,2,"LineGSTP",12.461154465802,0.685767770188891,0.366802004255896
1,3,"LineGSTP",1.12481406487206,0.99642268400893,0.291644031673648
2,3,"LineGSTP",1.17406344930694,1.19725837887861,0.339707811631671
3,3,"LineGSTP",1.3824284729464,1.22361063254667,0.302842725311732
4,3,"LineGSTP",1.59234010876537,1.2205916991676,0.334242214516653
5,3,"LineGSTP",2.07116537431223,1.04366958781647,0.316483501299087
6,3,"LineGSTP",2.34386751218177,0.948119688952124,0.239870577399719
7,3,"LineGSTP",2.49772622070058,0.738626306171455,0.323784445560483
8,3,"LineGSTP",2.86379014087722,0.718160338859485,0.14587553602946
9,3,"LineGSTP",3.01922808356265,0.725993693759212,0.137584469035647
10,3,"LineGSTP",3.08371067178319,0.713437313485291,0.199709568693821
11,3,"LineGSTP",3.37096441905645,0.741461504901999,0.29011715067835
12,3,"LineGSTP",3.43074811044023,0.761042494112952,0.278910687908893
13,3,"LineGSTP",3.47262775901531,0.614078706565781,0.249463804374014
14,3,"LineGSTP",3.82922173344769,0.671705780214095,0.223599569958628
15,3,"LineGSTP",3.92719899360647,0.709200551460224,0.233469247632355
16,3,"LineGSTP",4.16199708506196,0.605456196418491,0.179772888429011
17,3,"LineGSTP",4.39727875648447,0.593178066224848,0.29314992083875
18,3,"LineGSTP",4.63724993644655,0.555766326971172,0.255539600777302
19,3,"LineGSTP",4.63628796152509,0.504954673409198,0.284630876180148
20,3,"LineGSTP",4.57269295978896,0.558958800254965,0.281751731386503
21,3,"LineGSTP",4.74228829406469,0.581460187453395,0.174882828228979
22,3,"LineGSTP",4.83057614848849,0.60025433935923,0.308163197204976
23,3,"LineGSTP",4.91734062647483,0.659925063363259,0.169861217898149
24,3,"LineGSTP",5.11184773159034,0.695709003120158,0.29849414576818
25,3,"LineGSTP",5.48563355121975,0.662862972189051,0.405843530308328
26,3,"LineGSTP",5.81388647475947,0.629151786174831,0.361247163388411
27,3,"LineGSTP",5.94996672266732,0.575870626301234,0.503552254743737
28,3,"LineGSTP",6.15529873950272,0.525304978744613,0.448371800051114
29,3,"LineGSTP",6.53064286454722,0.523530842619226,0.232439295723427
30,3,"LineGSTP",6.78157969645527,0.542846928273687,0.297323045486219
31,3,"LineGSTP",6.9881212960231,0.520731010239959,0.3302157349116
32,3,"LineGSTP",7.23587157084547,0.511626518526413,0.220196095857179
33,3,"LineGSTP",7.5022102975478,0.493989503997394,0.397388999285561
34,3,"LineGSTP",7.49920342201084,0.467553466602643,0.320145175620929
35,3,"LineGSTP",7.70810987970652,0.433439341075806,0.281667547510801
36,3,"LineGSTP",7.79814413279268,0.469936272053736,0.23275512108546
37,3,"LineGSTP",8.11382193589199,0.446755859615907,0.388747549586613
38,3,"LineGSTP",8.40214451156266,0.397421840451868,0.292166456805656
39,3,"LineGSTP",8.52149342942712,0.401645377093471,0.377043098668862
40,3,"LineGSTP",8.85740696260251,0.425454016530557,0.22086952712423
1,4,"LineGSTP",0.884575009698592,0.906329857521374,0.278397817028519
2,4,"LineGSTP",1.34117402335629,1.23455026237574,0.234964237352536
3,4,"LineGSTP",1.84249281614689,1.38738979954469,0.306615231108774
4,4,"LineGSTP",2.13232629158183,0.959056885186185,0.344032841361014
5,4,"LineGSTP",2.29197738719567,1.09401989923756,0.212871769897849
6,4,"LineGSTP",2.79268751493369,0.642747456871577,0.299771777216479
7,4,"LineGSTP",2.64600838106899,0.649595309963802,0.309056027641284
8,4,"LineGSTP",2.78660364148771,0.709182729536705,0.261460817621653
9,4,"LineGSTP",3.03191014474634,0.766884131543639,0.220099973191507
10,4,"LineGSTP",3.16014391705374,0.818563269764821,0.10624863588895
11,4,"LineGSTP",3.58952907045854,0.853665551722587,0.278944386674909
12,4,"LineGSTP",3.88548895036961,0.796402141509654,0.279202699993477
13,4,"LineGSTP",3.94551947935094,0.695362478358118,0.288474764517472
14,4,"LineGSTP",4.0863755721285,0.581417032787367,0.228110172066579
15,4,"LineGSTP",4.23691463381891,0.545659815303259,0.238713233246609
16,4,"LineGSTP",4.44921960459323,0.583014019798943,0.246501756846567
17,4,"LineGSTP",4.4937625593962,0.61164254986735,0.27373898460152
18,4,"LineGSTP",4.74984477387499,0.539286867207191,0.209638926935356
19,4,"LineGSTP",4.82429639785958,0.570486895155209,0.212510386616497
20,4,"LineGSTP",4.9730903009672,0.565636368287456,0.290995464463583
21,4,"LineGSTP",5.08024227462567,0.537152773496506,0.401603380882983
22,4,"LineGSTP",5.09990481423432,0.612325425835316,0.39055975754656
23,4,"LineGSTP",5.1943506014237,0.660759420161816,0.139530292098079
24,4,"LineGSTP",5.56577906791409,0.691453446492934,0.27054649488862
25,4,"LineGSTP",5.8646557924657,0.724578118083267,0.16766820244031
26,4,"LineGSTP",5.85878996159327,0.886650863586774,0.341569878583805
27,4,"LineGSTP",6.1396541387837,0.635754350909639,0.416924737787618
28,4,"LineGSTP",6.37184702893436,0.732242352587726,0.361044916854559
29,4,"LineGSTP",6.61067747079924,0.548241371671537,0.302529621477061
30,4,"LineGSTP",6.84443876907194,0.606009150852806,0.336880043932952
31,4,"LineGSTP",6.9972002286215,0.50245183681321,0.368302696118418
32,4,"LineGSTP",7.01423931879197,0.571699880693926,0.355764898184396
33,4,"LineGSTP",7.08170100861372,0.566352651534534,0.312437804493116
34,4,"LineGSTP",7.29171668725778,0.505567842372463,0.296787459000448
35,4,"LineGSTP",7.36975938796387,0.492742971879706,0.295872030438108
36,4,"LineGSTP",7.50707888607347,0.547344364184151,0.307624103809798
37,4,"LineGSTP",7.76100442664632,0.424571525799848,0.382139178043574
38,4,"LineGSTP",8.00255631175671,0.433805631716983,0.413222504684043
39,4,"LineGSTP",8.23316091693196,0.542003128455002,0.259936733389367
40,4,"LineGSTP",8.30832453240233,0.490853474863472,0.31733002761079
1,5,"LineGSTP",1.02513983288452,0.916250038387261,0.174971836543315
2,5,"LineGSTP",1.34032422873499,1.46028441598975,0.364696454694156
3,5,"LineGSTP",1.71952305592093,1.36334052153447,0.198061172800811
4,5,"LineGSTP",2.3773868646467,1.21555778797753,0.424426039246307
5,5,"LineGSTP",2.68373258347568,0.937640426237927,0.36797671927898
6,5,"LineGSTP",2.90072242684808,0.700882719069256,0.331987729794752
7,5,"LineGSTP",2.82408797190952,0.720979347522167,0.201575982852093
8,5,"LineGSTP",3.05625428980805,0.840719356418726,0.218496968041808
9,5,"LineGSTP",3.27842246670362,0.856720490087037,0.249098538251976
10,5,"LineGSTP",3.50964078215141,0.970433826379048,0.349489983656816
11,5,"LineGSTP",3.98073050350129,0.741579426425041,0.279516658894643
12,5,"LineGSTP",4.15871807783032,0.644287583695529,-0.0383924079294007
13,5,"LineGSTP",4.07115166382714,0.779606322316586,0.258314676629871
14,5,"LineGSTP",4.3280065917357,0.652092831529582,0.203169340864713
15,5,"LineGSTP",4.18227765292052,0.648357262449567,0.297480584102372
16,5,"LineGSTP",4.17423474601865,0.633548239050703,0.252475291959383
17,5,"LineGSTP",4.56569599516364,0.931455126451289,0.35501381149665
18,5,"LineGSTP",4.81644474901906,0.80069556325081,0.218490079028196
19,5,"LineGSTP",5.0039666068503,0.732804290633056,0.236588186649437
20,5,"LineGSTP",5.36129384519301,0.658090080266479,0.298865596658419
21,5,"LineGSTP",5.47661013280368,0.591806495904818,0.354668940437841
22,5,"LineGSTP",5.51853427340913,0.537965782233738,0.443538267570899
