"year","rep","scenario","meanG","varG","accSel"
1,1,"LineGS_const",0.92628098827821,1.21763138855314,0.319497284215712
2,1,"LineGS_const",1.25251138810305,1.45260049557495,0.233679146995304
3,1,"LineGS_const",1.69692620166389,1.70218640379609,0.306613676616288
4,1,"LineGS_const",2.48520090973756,1.99306735795147,0.266863821635151
5,1,"LineGS_const",2.75649146596179,1.64713392302488,0.374852478279485
6,1,"LineGS_const",3.07653809620311,1.12845304353509,0.40865916670148
7,1,"LineGS_const",3.30987972798643,1.02845290590089,0.384030116588147
8,1,"LineGS_const",3.56692282271288,1.15567093975849,0.332770409594638
9,1,"LineGS_const",3.61883880618624,1.17681091038776,0.312387009127693
10,1,"LineGS_const",4.2012981701,1.2391256948692,0.363979634031469
11,1,"LineGS_const",4.41793010301795,1.15638951961058,0.33055734171368
12,1,"LineGS_const",4.90685172885504,1.09102181343921,0.101748782327499
13,1,"LineGS_const",5.07113813466491,1.02302012469176,0.321183124779621
14,1,"LineGS_const",5.28820340681548,1.19689052564439,0.309190493665054
15,1,"LineGS_const",5.42205437691239,1.16421018588122,0.312649254431029
16,1,"LineGS_const",5.74353044340156,1.08467941455275,0.381384243807413
17,1,"LineGS_const",5.98266980797235,0.995973736291862,0.331743090272918
18,1,"LineGS_const",6.28793104573821,0.835266525523828,0.264687544027219
19,1,"LineGS_const",6.45570990245293,1.02932670052725,0.27628950708502
20,1,"LineGS_const",6.60803863419775,0.95722247352648,0.110281558006079
21,1,"LineGS_const",6.85711430712337,0.926303528624434,0.399920039173582
22,1,"LineGS_const",7.32900913890951,0.97547959595589,0.488146446154639
23,1,"LineGS_const",7.59982559580466,1.32940188501882,0.487533506230271
24,1,"LineGS_const",7.95683354219628,0.87943329183245,0.335170019137185
25,1,"LineGS_const",8.30456489242251,0.770354506163193,0.479641949717244
26,1,"LineGS_const",8.50175668207927,0.653617572192927,0.489782289087689
27,1,"LineGS_const",8.75236559927793,0.669294657908001,0.110473578155615
28,1,"LineGS_const",9.0391513653174,0.66420046460308,0.391550971506551
29,1,"LineGS_const",9.2057821561449,0.635758383103571,0.167480688413722
30,1,"LineGS_const",9.49058992533208,0.691223969168488,0.545842885077772
31,1,"LineGS_const",9.96641694760824,0.713476906710415,0.309265753722854
32,1,"LineGS_const",10.3591381430544,0.780620782227994,0.314825399541732
33,1,"LineGS_const",10.5546467483603,0.587941457492657,0.408776762015293
34,1,"LineGS_const",10.7132190637769,0.546731433708395,0.665928582727257
35,1,"LineGS_const",11.093495371498,0.577209668328742,0.518791673168488
36,1,"LineGS_const",11.2348117925783,0.623484619401362,-0.0190513991868809
37,1,"LineGS_const",11.2954290191673,0.598152178988904,-0.42769841785859
38,1,"LineGS_const",11.5482413190932,0.475154551744781,-0.48781206492537
39,1,"LineGS_const",11.3780040728518,0.518146873232889,0.0351025538053761
40,1,"LineGS_const",11.3587938247483,0.501646613478778,0.631519007806826
1,2,"LineGS_const",0.988888776275393,1.47702062626192,0.318260271540877
2,2,"LineGS_const",1.25647916290691,1.66095332566017,0.366415255226074
3,2,"LineGS_const",1.87867637569204,2.22601803592221,0.380258577859818
4,2,"LineGS_const",2.64818078687848,2.07112764224483,0.263524434266915
5,2,"LineGS_const",3.1052197642114,1.86794817002416,0.437991629123206
6,2,"LineGS_const",3.34292584188931,1.38935026809467,0.409977600967096
7,2,"LineGS_const",3.74189098682985,1.10931597442405,0.41636685556585
8,2,"LineGS_const",3.76715558028405,1.23320862299443,0.339096412526719
9,2,"LineGS_const",3.97009151430193,1.40710125699113,0.362308789914058
10,2,"LineGS_const",4.39146615353797,1.56060495418283,0.246024575395019
11,2,"LineGS_const",4.54980463930523,1.40248418169398,0.381622237198096
12,2,"LineGS_const",4.9268372904364,1.36763796524127,0.420345353535131
13,2,"LineGS_const",5.28814383142123,1.20344894956251,0.328417146486844
14,2,"LineGS_const",5.49201018783769,1.45732083739303,0.384423161164897
15,2,"LineGS_const",5.61182690744207,1.48105402779983,0.409769432426136
16,2,"LineGS_const",6.15873855579711,1.37252941478831,0.406112518056641
17,2,"LineGS_const",6.50145478185697,1.16310420995492,0.346836333554025
18,2,"LineGS_const",6.78522483048568,1.12735241527353,0.388053449987513
19,2,"LineGS_const",7.21355731392285,1.09078494583475,0.397648987395479
20,2,"LineGS_const",7.41769218601721,1.02430364544145,0.239882123848453
21,2,"LineGS_const",7.42503338193959,1.0272621861529,0.327102624524828
22,2,"LineGS_const",7.73645494040817,1.10360831141038,0.436417589331565
23,2,"LineGS_const",8.03873572354814,1.2634193001391,0.516288425746158
24,2,"LineGS_const",8.70449404062123,1.1067276743765,0.590170434856588
25,2,"LineGS_const",8.74397828171974,1.3615703099744,0.496385744303941
26,2,"LineGS_const",9.44898886747499,1.13220718516727,0.552095446729842
27,2,"LineGS_const",9.56300097559379,0.885997878954763,0.403508386461479
28,2,"LineGS_const",9.94885152727849,1.26040240458055,0.423558349035087
29,2,"LineGS_const",10.3395412252961,1.03823649995936,0.655736676077609
30,2,"LineGS_const",10.6478583310313,1.24203303851313,0.74786732649694
31,2,"LineGS_const",11.1552448235211,1.00070225336654,0.695904013401078
32,2,"LineGS_const",11.9896930553239,1.04231659064846,0.691123701355277
33,2,"LineGS_const",12.2029096573498,0.719615750137779,0.752336869431065
34,2,"LineGS_const",12.7492826853286,0.964470585121186,0.181139985195279
35,2,"LineGS_const",12.9055929762367,0.852654883792155,0.173887705252181
36,2,"LineGS_const",13.0583324433441,0.94777019091159,0.533108626440308
37,2,"LineGS_const",13.1759219458461,0.874083790735119,0.741793300181015
38,2,"LineGS_const",13.3856879713752,1.11414176249412,0.41987482760621
39,2,"LineGS_const",13.3746055262866,1.02357877411214,0.733155654000679
40,2,"LineGS_const",13.8618728025845,0.856644717815683,0.64180167991965
1,3,"LineGS_const",1.12481406487206,0.99642268400893,0.291644031673648
2,3,"LineGS_const",1.17406344930694,1.19725837887861,0.339707811631671
3,3,"LineGS_const",1.3824284729464,1.22361063254667,0.302842725311732
4,3,"LineGS_const",1.59234010876537,1.2205916991676,0.334242214516653
5,3,"LineGS_const",2.07116537431223,1.04366958781647,0.316483501299087
6,3,"LineGS_const",2.34386751218177,0.948119688952124,0.239870577399719
7,3,"LineGS_const",2.49772622070058,0.738626306171455,0.323784445560483
8,3,"LineGS_const",2.86379014087722,0.718160338859485,0.14587553602946
9,3,"LineGS_const",3.01922808356265,0.725993693759212,0.137584469035647
10,3,"LineGS_const",3.08371067178319,0.713437313485291,0.199709568693821
11,3,"LineGS_const",3.37096441905645,0.741461504901999,0.29011715067835
12,3,"LineGS_const",3.43074811044023,0.761042494112952,0.278910687908893
13,3,"LineGS_const",3.47262775901531,0.614078706565781,0.249463804374014
14,3,"LineGS_const",3.82922173344769,0.671705780214095,0.223599569958628
